name,Description
Navy Blue Well Spotted Jumpsuit,Inspire chic finesse in your line-up with this navy blue polka dot printed jumpsuit from Twenty Dresses. Style With: A pair of stilettos and a sling bag will complete this stunning look!
Black Spread The Sparkle Shimmer Playsuit,"Crafted in polyester knit, this jumpsuit is the perfect alternative to the LBD. It features an overlapping v-neckline, adjustable shoulder straps and a concealed zipper on the left. Style with: Classic black pumps and a crossbody bag.The model (height 5'6"") is wearing a size XS"
White The Floral Ruffles Dress,White floral printed rayon dress. Fit and flare silhouette. Wide neckline that can be worn off-shoulder as well as round with puff sleeves. Tie-up belt at the back. Overlapping ruffled hem. Side zipper for fastening & ease.
White Buti Printed Top,A white buti printed top make it an extra-special summer essential. This top can be paired with uneven hem pant.
Maroon Crepe Roll Up Jumpsuit,"Button down relaxed fit jumpsuit with roll up sleeves and an elasticated waist. The elasticated waist and comfortable hip silhouette is perfect for the Indian body type. Made from smooth, wrinkle resistant crepe fabric, this jumpsuit is sure to look trendy. It is color bleeding resistant thereby making it long lasting. Sweat absorbent armpit lining is used to keep away underarm stains."
Tamara Printed Crepe Jumpsuit,"Present an allure of elegance with this jumpsuit by Payal Singhal. Crafted in crepe, it features ikat stripe prints with tassel detailing. Style it with statement jewellery and embellished footwear to ace the outfit."
Blue Sofia Utility Denim Mini Dress,This denim utility dress is perfectly on-trend for the season ahead. Team yours with block heels and gold-tone jewellery to complement the look.
Blue Cute As A Button Culotte Jumpsuit,A light blue shoulder strapped jumpsuit that has wide leg bottoms with buttoned sides and side slits for styling. It has a tie-up and center back zipper at the back for fastening and style.
Black Take Me On A Date Top,Black one shoulder polyester knit peplum top. Sweetheart neckline with princess cut in the front on one side. Peplum waist cut. Asymmetrical hemline. Concealed side zipper for fastening and ease.
Rust Linen Flax Dress With Floral Embroidery,Make a stunning style statement with this rust embroidered dress from the house of Aaliya. Style this dress with a pair of wedge espadrilles and a chic handbag to complete the ensemble.
Multi-Color Goal Tie Dye Cotton Dress,"A smart dress with a shirt collar, half sleeves, a fully functional front placket, scattered mirror work, A-line fit and pockets. Crafted out of airy cotton fabric, this design is the perfect choice for the busy Okhai woman. It can be styled as casual or for travel. The fresh colour also makes it the perfect choice for brunch meetups, weekend getaways and airport looks. Pair it with your favourite shoes and add pops of colour with Okhai's handmade accessories."
KAZO White Embellished T-Shirt,"This white embellished t-shirt from Kazo will be a perfect addition to your western wear collection. Featuring a round neck and short sleeves, style this t-shirt with a pair of denim jeans and flats to complete the look. T-shirt only."
Multicolour Pleated Midi Dress,"This multi-coloured dress by Torqadorn is crafted in polyester, sleeveless and features a V neck, a pleated detailing and a regular fit. Buy this dress online and pair it with fine accessories and heels to complete the look."
Brown Numeric Print Sweatshirt,"This brown sweatshirt from ONLY is crafted in cotton and features a round neck, long sleeves and graphic print with embroidered details on the front. Buy this sweatshirt online and pair it with jeans and heels to complete the look."
Time To Play Black Co-ordinates (Set of 2),"Crafted in polyester knit, this co-ord set transcends seasons. It comes with a top that features broad shoulder straps and a wide neckline. It also has palazzos with slits and a concealed zipper on the side. Style with: Platform heels and a crossbody bag.The model (height 5'6"") is wearing a size XS"
Brown All The Way Jogger Jumpsuit,Brown rayon twill jumpsuit. V neckline with short sleeves. Elasticated waist for comfort. Comfort fit with jogger style bottom silhouette. Center front button placket for fastening and ease.
Mauve Neck Tie Shirt,"This mauve shirt by Torqadorn is crafted in crepe and features a tie-up detail on the neck, button closure on the front, long sleeves and a relaxed fit. Buy this shirt online and pair it with straight pants and heels to create a statement look."
Green Printed Jumpsuit,"This green printed jumpsuit by Global Desi is crafted in viscose, sleeveless and features a V neck and a regular fit. Pair this jumpsuit with block heels and fine accessories to complete the look."
Ft Ananya Panday Blush Pink Text Print Sweatshirt,Keep things simple and smart with this sweatshirt from ONLY. Style it with black pants and sneakers for a look that will get you massive style points.
Black Embellished Collar And Sleeve Shirt,"This Kazo black polyester button-down shirt has an embellished collar neck, balloon sleeves and a regular fit. Pair this shirt with skinny pants and heels to complete the look."
White Bouffant Sleeves Stitch Detail Top,"This white top is crafted in cotton and features a round neck, long bouffant sleeves with elongated cuffs and a regular fit. Style this top with a pair of black culottes and high heels to make a statement."
Red Printed Dress,"This red dress by Cover Story is what you should definitely have in your collection. Pair it with subtle accessories, a compact handbag and heels to create a statement look."
Black At The Edge Of The Night Dress,"Featuring a thin strap on the one side for style and a sleeveless design, this black dress from Twenty Dresses is perfect to don for casual occasions and events. Style With: Add some swanky jewellery and block heels to steal the show!"
Purple Exploded Logo Pullover Sweatshirt,"Made from a soft cotton-blend jersey, this sweatshirt by GAP will be your go-to number when the temperature drops. The printed logo at front adds a signature appeal, while a crew neck, long sleeves and ribbed trims complete its design. Throw yours with a tee and jeans on off-duty days."
White Pretty Enchanting In The Florals Playsuit,White floral rayon playsuit with cotton voile lining inside. Shoulder straps with smocking at front & back yoke. V-neck ruffled detailing. Ruffles at the waist for style. An all-season favourite the florals are back with a fun classy & trendy twist. Accessorize with: an easy breezy outfit for your by the bay brunch. Style it with your sliders along with a sling for that classy street style look. Alternatively pair it with your sneakers for a sporty look.
Navy Blue Modern Long Sleeve T-Shirt,Make a stunning style statement with this elegant blue crew neck tee from GAP. Team this tee with a pair of skinny denims and regular sneakers to attain a casual chic look.
Pink Don't Cut Me Out Dress,"This bodycon dress is created in polyester lycra. It features an overlapping v-neckline, adjustable shoulder straps, cut out at the waist and a concealed centre back zipper for closure. Style With : Strappy nude heels, a small sling bag and a messy hair do is all you need for a complete look!"
Band Collar Full Sleeves Yellow Floral Print Top,"This yellow floral printed top is crafted in viscose and features a banded collar neck with button fastening, long flounce sleeves, pleat details and a regular fit. Style this top with a pair of skinny denims and high heels to complete the look."
Blush Pink Bodycon Mini Dress,"It's time to give your work wardrobe a commanding, elegant makeover with this blush bodycon dress. Featuring a button detail wrap, this one is equal parts polished, stylish and fun. Style Tip: Pair the dress with towering pumps to keep up."
Casual Navy Blue Viscose Shirt,"This navy blue checkered shirt from ONLY is crafted in viscose and features a shirt collar neck, long sleeves with buttoned cuffs and front pockets. Buy this shirt online and pair it with a skirt and heels to complete the look."
Band Collar Sleeveless Short Dress,"Subtle yet chic, this peach dress from Label Ritu Kumar is accented with an elegant front buttons placket detail and makes a statement addition to your casual collection. Style this dress with a pair of nude wedges and pint-sized earrings to complete the look."
Grey Striped Flared Sleeve Jumpsuit,Elevate your everyday look with this trendy jumpsuit. This grey coloured jumpsuit features stripes with button detail and comes with an attached belt. Style Tip: Pair it with a statement bag and neatly tied hair.
Navy Blue Tamara Ruched Midi Dress,"In a sophisticated silhouette, this navy blue ruched midi dress is perfect for corporate events or formal occasions. Style yours with drop earrings and stiletto heels for a polished ensemble."
Maroon Formal Cape Maxi Dress,"Crafted in polyester, this maroon dress features a round neck, short sleeves, a cape overlay, a back zip fastening, a tulip style hemline and a regular fit. Style this dress with a pair of high heels and statement accessories to complete the look."
Gold Embroidered Gown,"This golden embellished gown is handcrafted in tulle and meticulously hand embroidered with various golden material and beads. It features a round neck, long sleeves and a slim fit. Pair this gown with drop earrings and heels to complete the look."
Green And White Checks Top,"This green and white top by Fabnest is crafted in cotton and features a notch neck, 3/4th sleeves, check patterns all over and a regular fit. Buy this top online and pair it with straight pants and heels to complete the look."
Grey Rose Shrug,Gorgeous miniature rose shrub design on this shrug will look good on anything.
White Overlap Buckle Blazer Dress,"Structured yet glamorous, this white overlap blazer dress with an adjustable buckle detailing is all you need to amp up your style at your next office party!"
Blue Waist Detailed Solid Crepe Dress,"This blue dress is crafted in crepe and features a round neck, short flared sleeves, a contrast colour self tie-up belt, side slit pockets and a regular fit. Style this dress with a pair of high heels and pint-sized earrings to complete the look."
White Cotton Floral Printed Jumpsuit,"This natural dye jumpsuit is crafted in cotton with featuring a hand block floral print all over, a pattern of garment design as a flare aline fit. A basic square neck with board strip of shoulder with lace, a line flare bottom, and back zipper closer."
Peach Pearl Work Shirt Dress,A peach shirt dress. The colour may differ from the picture.
Blue Wish Hand Embroidered Midi Dress,"This dress by Okhai comes in refreshing shade of blue, hand block printed onto soft flowy cotton mul fabric, handcrafted into a trendy sleeveless dress with an asymmetrical hem. Subtle touches of embroidery on the shoulders and waist add the magic touch to make it even more unique. Perfect for your next holiday or weekend with loved ones."
Women Blue Solid A-Line Yarn Dyed Dress,This blue dress is a major statement maker. Style it with subtle accessories and heels to complete the look.
Navy Blue Top,"Navy blue and white printed woven regular top, has a round neck, short sleeves"
Multi-Colour Short Sleeves Stripes Printed Top,"Make a stunning style statement with this elegant red top from GAP. Crafted in cotton, style this top with a pair of girlfriend denims and high heels to complete the ensemble."
Red Solid Top,Cover Story Solid Red Women Top
Justine Lace Blouse,"Cut for a regular fit, this black lace blouse has a high ruffle neckline and elasticated sleeves with fluted cuffs. Complement this piece with a bold lip and tailored separates for a look that will take you from office to evening."
Navy Blue Mariana Wrap Hanky Hem Dress,This long-sleeved navy hanky hem mini dress boasts a speckled floral print and a flattering wrap design. Style with strappy heels and rose gold-tone jewellery for your next daytime event.<br>
Blue Bell Sleeve Jacquard Wrap Top,"This blue patterned top from Faballey will be a great addition to your wardrobe. Featuring a V-neckline and bell sleeves, style this top with a pair of matching denim jeans and block heels to complete your look for any casual occasion. Top only."
White Alicia Top,"This all time classic white shirt from Maison Shefali got classier and cooler. Crafted in the super light and soft cotton mul, this half button down shirt features a Chinese collar with pleat and printed detailing and 3/4 puff sleeves finished with mother of pearl buttons on the cuffs. Style this shirt with a pair of straight-cut trousers and pointed heels to complete the look."
S.O.I.E. Black Asymmetric Cape Top,Black will never go out of style. This sheer top with a golden neckline will enthral you for years and you will be surprised at the number of combinations you can make with this top. Pair this top with jeggings and heels to bring out the best in you. Top only.
Multi-Color Striped Modern Dress,"This multi-color dress by GAP is crafted in cotton and makes the perfect pick to don for daytime events and occasions. Style this stunning dress with a pair of strappy heels, pint-sized earrings and a chic handbag to complete the look."
Rose Embroidery Summer White Mini Dress,"This white dress by Attic Salt is crafted in polyester and features a V neck, long bell sleeves and embroidery detailing all over. Buy this dress online and team it with heels and fine accessories to create a statement look."
Black Solid Dhoti Style Jumpsuit With Belt,"Featuring a dhoti style bottom, this black jumpsuit from The Silhouette Store makes an elegant addition to your casual wardrobe. Style this jumpsuit with a pair of high heels and super-sized earrings to complete the look."
Beige Gladiola Gown,Boat neck gown with churidar sleeves and keyhole neckline cut-out.The gown has shaded bead embroidery in peach and green with antique gold embroidery
